deliverable_id,path,kind,required_for_mode,stage,min_size_bytes,min_non_placeholder_items,placeholder_forbidden,forbidden_markers,required_markers,checksum_required,notes
DLV-0001,AGENTS.md,file,all,G0,1,0,true,document_status: DRAFT,,false,
DLV-0002,00_control/PROJECT.yaml,file,all,G0,1,0,true,,,false,
DLV-0003,00_control/STATUS.yaml,file,all,G0,1,0,true,,,false,
DLV-0004,00_control/AUTHORIZATION.md,file,all,G0,1,0,true,授权状态：UNVERIFIED,授权状态：VERIFIED,false,
DLV-0005,00_control/SCOPE_MATRIX.csv,file,all,G0,1,1,true,,,false,
DLV-0006,00_control/DECISIONS.md,file,all,G0,1,0,true,,,false,
DLV-0007,00_control/CHANGELOG.md,file,all,G0,1,0,true,,,false,
DLV-0008,00_control/DELIVERABLE_MANIFEST.yaml,file,all,G9-D,1,0,true,"manifest_status: ""UNVERIFIED""","manifest_status: ""VERIFIED""",false,
DLV-0009,00_control/DELIVERABLE_CHECKLIST.csv,file,all,G9-D,1,1,true,,,false,
DLV-0010,01_environment/SOURCE_APPLICATION_PROFILE.yaml,file,all,G1,1,0,true,,,false,
DLV-0011,01_environment/SOURCE_TECH_FINGERPRINT.yaml,file,all,G1-T,1,0,true,,,false,
DLV-0012,01_environment/TARGET_CONSTRAINTS.yaml,file,all,G5-T,1,0,true,,,false,
DLV-0013,01_environment/ENVIRONMENT_MATRIX.csv,file,all,G1,1,1,true,,,false,
DLV-0014,01_environment/PLATFORM_COMPATIBILITY_MATRIX.csv,file,all,G5-T,1,1,true,,,false,
DLV-0015,02_evidence/EVIDENCE_INDEX.csv,file,all,G1,1,1,true,,,false,
DLV-0016,02_evidence/OBSERVATION_LOG.md,file,all,G1,1,0,true,OP-模块-0001,,false,
DLV-0017,02_evidence/raw,dir,all,G1,1,1,true,,,false,至少一份实际证据；.gitkeep 和 example 文件不计
DLV-0018,03_inventory/ENTRY_POINT_INVENTORY.csv,file,all,G2,1,1,true,,,false,
DLV-0019,03_inventory/WINDOW_PAGE_INVENTORY.csv,file,all,G2,1,1,true,,,false,
DLV-0020,03_inventory/INTERACTIVE_CONTROL_INVENTORY.csv,file,all,G2,1,1,true,,,false,
DLV-0021,03_inventory/SHORTCUT_MENU_INVENTORY.csv,file,all,G3,1,0,true,,,false,
DLV-0022,03_inventory/FEATURE_INVENTORY.csv,file,all,G4-C,1,1,true,,,false,
DLV-0023,03_inventory/ROLE_PERMISSION_MATRIX.csv,file,all,G4-C,1,1,true,,,false,
DLV-0024,03_inventory/EXTERNAL_DEPENDENCY_MATRIX.csv,file,all,G4-C,1,0,true,,,false,
DLV-0025,03_inventory/DISCOVERY_ROUNDS.csv,file,all,G4-C,1,2,true,,,false,
DLV-0026,03_inventory/ERROR_RECOVERY_CATALOG.yaml,file,all,G4-C,1,0,true,错误名称,,false,
DLV-0027,04_specifications/pages,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0028,04_specifications/interactions,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0029,04_specifications/features,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0030,04_specifications/data-contracts,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0031,04_specifications/permissions,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0032,04_specifications/errors,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0033,04_specifications/performance,dir,all,G4-C,1,1,true,,,false,至少一份正式规格；*.example.* 不计
DLV-0034,05_technical_design/TECH_STACK_CANDIDATES.csv,file,all,G5-T,1,1,true,,,false,
DLV-0035,05_technical_design/TECH_STACK_DECISION.yaml,file,all,G5-T,1,0,true,,,false,
DLV-0036,05_technical_design/TECH_STACK_LOCK.yaml,file,all,G5-T,1,0,true,,,false,
DLV-0037,05_technical_design/OFFICIAL_DOC_INDEX.csv,file,all,G5-T,1,0,true,,,false,
DLV-0038,05_technical_design/DEPENDENCY_INVENTORY.csv,file,all,G5-T,1,0,true,,,false,
DLV-0039,05_technical_design/IMPLEMENTATION_TASKS.csv,file,all,G5,1,1,true,,,false,
DLV-0040,05_technical_design/ARCHITECTURE.md,file,all,G5,1,0,true,document_status: DRAFT,,false,
DLV-0041,05_technical_design/MODULE_MAP.yaml,file,all,G5,1,0,true,document_status: DRAFT,,false,
DLV-0042,05_technical_design/DATA_FLOW.md,file,all,G5,1,0,true,document_status: DRAFT,,false,
DLV-0043,05_technical_design/BUILD_PLAN.md,file,all,G5,1,0,true,document_status: DRAFT,,false,
DLV-0044,05_technical_design/TEST_STRATEGY.md,file,all,G5,1,0,true,document_status: DRAFT,,false,
DLV-0045,07_tests/TEST_CASES.csv,file,all,G4-C,1,1,true,,,false,
DLV-0046,07_tests/PERFORMANCE_SCENARIOS.csv,file,all,G8,1,1,true,,,false,
DLV-0047,07_tests/COVERAGE_MATRIX.csv,file,all,G4-C,1,1,true,,,false,
DLV-0048,07_tests/TRACEABILITY_MATRIX.csv,file,all,G4-C,1,1,true,,,false,
DLV-0049,07_tests/DEFECTS.csv,file,all,G7,1,0,true,,,false,
DLV-0050,07_tests/WAIVERS.csv,file,all,G4-C,1,0,true,,,false,
DLV-0051,09_reports/TECHNOLOGY_VALIDATION_REPORT.md,file,all,G5-T,1,0,true,NOT_RUN,,false,
DLV-0052,09_reports/COVERAGE_REPORT.md,file,all,G4-C,1,0,true,NOT_RUN,门禁：**PASS**,false,
DLV-0053,09_reports/DISCOVERY_SATURATION_REPORT.md,file,all,G4-C,1,0,true,NOT_RUN,门禁：**PASS**,false,
DLV-0054,09_reports/TRACEABILITY_VALIDATION_REPORT.md,file,all,G4-C,1,0,true,NOT_RUN,门禁：**PASS**,false,
DLV-0055,09_reports/ORPHAN_CHECK_REPORT.md,file,all,G4-C,1,0,true,NOT_RUN,门禁：**PASS**,false,
DLV-0056,09_reports/RESIDUAL_UNKNOWN_RISK_REPORT.md,file,all,G9-D,1,0,true,状态：UNVERIFIED,状态：VERIFIED,false,
DLV-0057,09_reports/DELIVERABLE_VALIDATION_REPORT.md,file,all,G9-D,1,0,true,,,false,
DLV-0058,07_tests/ui-automation,dir,automation|mixed,G7,1,1,true,,,false,
DLV-0059,02_evidence/processed,dir,automation|mixed,G7,1,1,true,,,false,
DLV-0060,06_implementation/IMPLEMENTATION_INDEX.csv,file,implementation|mixed,G6,1,1,true,,,false,
DLV-0061,06_implementation/src,dir,implementation|mixed,G6,1,1,true,,,false,
DLV-0062,06_implementation/dependency-locks,dir,implementation|mixed,G6,1,1,true,,,false,
DLV-0063,07_tests/unit,dir,implementation|mixed,G6,1,1,true,,,false,
DLV-0064,07_tests/integration,dir,implementation|mixed,G6,1,1,true,,,false,
DLV-0065,08_build/installers,dir,implementation|mixed,G9,1,1,true,,,true,
DLV-0066,08_build/build-logs,dir,implementation|mixed,G9,1,1,true,,,false,
DLV-0067,08_build/sbom,dir,implementation|mixed,G9-D,1,1,true,,,false,
DLV-0068,08_build/checksums,dir,implementation|mixed,G9-D,1,1,true,,,false,
DLV-0069,09_reports/BUILD_REPRODUCIBILITY_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0070,09_reports/VISUAL_PARITY_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0071,09_reports/FUNCTIONAL_PARITY_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0072,09_reports/DATA_PARITY_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0073,09_reports/PERFORMANCE_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0074,09_reports/STABILITY_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0075,09_reports/DEFECT_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_RUN,,false,
DLV-0076,09_reports/RELEASE_READINESS_REPORT.md,file,implementation|mixed,G9-D,1,0,true,NOT_READY;CONDITIONAL;NOT_RUN;UNVERIFIED,READY,false,
DLV-0077,10_delivery/安装手册.md,file,implementation|mixed,G9-D,1,0,true,状态：UNVERIFIED;版本：UNKNOWN,状态：VERIFIED,false,
DLV-0078,10_delivery/用户操作手册.md,file,implementation|mixed,G9-D,1,0,true,状态：UNVERIFIED;版本：UNKNOWN,状态：VERIFIED,false,
DLV-0079,10_delivery/管理员手册.md,file,implementation|mixed,G9-D,1,0,true,状态：UNVERIFIED;版本：UNKNOWN,状态：VERIFIED,false,
