id,should_trigger,skill,prompt
unity-01,true,unity-ui-design,"设计Unity电子教材个人信息页"
unity-02,true,unity-ui-design,"为UGUI设计多分辨率教材阅读页"
unity-03,false,unity-ui-design,"设计Vue管理后台"
unity-04,true,unity-component-implementation,"按现有PageRenderer实现Unity页面"
unity-05,true,unity-component-implementation,"复用已有Prefab增加资源Viewer"
unity-06,false,unity-component-implementation,"把Unity升级到最新大版本"
unity-07,true,unity-quality-review,"审核Prefab Missing Script和GUID"
unity-08,true,unity-quality-review,"检查ARM64构建兼容但不要声称已经验证"
unity-09,false,unity-quality-review,"直接修复前端React组件"
unity-10,true,unity-ui-design,"设计Unity加载空错误资源失败状态"
unity-11,true,unity-component-implementation,"Unity中途改Renderer方案但保留数据层"
unity-12,false,unity-ui-design,"解释Unity是什么"
cs-01,true,cs-client-router,"识别这个Qt QML桌面项目并告诉我本阶段用哪个Skill"
cs-02,true,cs-client-router,"这是WPF客户端加NodeTS后端，按C/S架构路由"
cs-03,true,cs-ui-design,"为Tauri桌面知识库设计有品牌感且不单调的界面"
cs-04,true,cs-ui-design,"设计Flutter移动客户端的离线和横竖屏状态"
cs-05,true,cs-component-implementation,"按已审核设计实现Avalonia设置窗口"
cs-06,true,cs-component-implementation,"在现有Android Compose架构中实现订单详情"
cs-07,true,cs-quality-review,"只读审核Electron客户端IPC、视觉Token和打包证据"
cs-08,true,cs-quality-review,"审核SwiftUI客户端的生命周期、API兼容和无障碍"
cs-09,false,cs-ui-design,"设计Vue浏览器管理后台"
cs-10,false,cs-component-implementation,"把现有WPF项目迁移成Flutter"
cs-11,false,cs-quality-review,"直接修复这个Qt源文件"
